No,accessions,strain,anastomosis_group(AG),host_common,host_scientific,host_groups,host_group_summarized,host_solanaceae,country,state_province,collection_date,year,continent,region,Manuscript
1,KP202862,AG-1 IB,AG1,rosemary,Salvia rosmarinus,Lamiaceae,Other,Non_solanaceae,South Korea,,15-Aug-14,2014,Asia,East Asia & Pacific,"Aktaruzzaman et al., 2015 (doi: 10.5941/MYCO.2015.43.2.170)"
2,JX631158,AG 1-IB,AG1,tall fescue,Festuca arundinacea,Poaceae,Poaceae,Non_solanaceae,USA,Leesburg,31-Jul-08,2008,North America,North America,"Amaradasa et al., 2013 (DOI: 10.3852/12-368)"
3,JX631159,AG 1-IB,AG1,tall fescue,Festuca arundinacea,Poaceae,Poaceae,Non_solanaceae,USA,Leesburg,31-Jul-08,2008,North America,North America,"Amaradasa et al., 2013 (DOI: 10.3852/12-368)"
4,JX631173,AG 1-IB,AG1,tall fescue,Festuca arundinacea,Poaceae,Poaceae,Non_solanaceae,USA,Woodbridge,28-Jul-08,2008,North America,North America,"Amaradasa et al., 2013 (DOI: 10.3852/12-368)"
5,JX631167,AG 1-IB,AG1,tall fescue,Festuca arundinacea,Poaceae,Poaceae,Non_solanaceae,USA,Herndon,10-Aug-09,2009,North America,North America,"Amaradasa et al., 2013 (DOI: 10.3852/12-368)"
6,JX631170,AG 1-IB,AG1,tall fescue,Festuca arundinacea,Poaceae,Poaceae,Non_solanaceae,USA,Annapolis,24-Aug-09,2009,North America,North America,"Amaradasa et al., 2013 (DOI: 10.3852/12-368)"
7,JX631165,AG 1-IB,AG1,tall fescue,Festuca arundinacea,Poaceae,Poaceae,Non_solanaceae,USA,Blacksburg,6-Sep-07,2007,North America,North America,"Amaradasa et al., 2013 (DOI: 10.3852/12-368)"
8,JX631166,AG 1-IB,AG1,tall fescue,Festuca arundinacea,Poaceae,Poaceae,Non_solanaceae,USA,Herndon,10-Aug-09,2009,North America,North America,"Amaradasa et al., 2013 (DOI: 10.3852/12-368)"
9,JX631171,AG 1-IB,AG1,tall fescue,Festuca arundinacea,Poaceae,Poaceae,Non_solanaceae,USA,Annapolis,24-Aug-09,2009,North America,North America,"Amaradasa et al., 2013 (DOI: 10.3852/12-368)"
10,JX631169,AG 1-IB,AG1,tall fescue,Festuca arundinacea,Poaceae,Poaceae,Non_solanaceae,USA,Leesburg,14-Aug-09,2009,North America,North America,"Amaradasa et al., 2013 (DOI: 10.3852/12-368)"
11,JX631172,AG 1-IB,AG1,tall fescue,Festuca arundinacea,Poaceae,Poaceae,Non_solanaceae,USA,Woodbridge,28-Jul-08,2008,North America,North America,"Amaradasa et al., 2013 (DOI: 10.3852/12-368)"
12,JX631156,AG 1-IB,AG1,tall fescue,Festuca arundinacea,Poaceae,Poaceae,Non_solanaceae,USA,Beltsville,9-Jul-08,2008,North America,North America,"Amaradasa et al., 2013 (DOI: 10.3852/12-368)"
13,JX631157,AG 1-IB,AG1,tall fescue,Festuca arundinacea,Poaceae,Poaceae,Non_solanaceae,USA,Beltsville,9-Jul-08,2008,North America,North America,"Amaradasa et al., 2013 (DOI: 10.3852/12-368)"
14,JX631163,AG 1-IB,AG1,tall fescue,Festuca arundinacea,Poaceae,Poaceae,Non_solanaceae,USA,Blacksburg,6-Sep-07,2007,North America,North America,"Amaradasa et al., 2013 (DOI: 10.3852/12-368)"
15,JX631161,AG 1-IB,AG1,tall fescue,Festuca arundinacea,Poaceae,Poaceae,Non_solanaceae,USA,Leesburg,31-Jul-08,2008,North America,North America,"Amaradasa et al., 2013 (DOI: 10.3852/12-368)"
16,JX631160,AG 1-IB,AG1,tall fescue,Festuca arundinacea,Poaceae,Poaceae,Non_solanaceae,USA,Leesburg,31-Jul-08,2008,North America,North America,"Amaradasa et al., 2013 (DOI: 10.3852/12-368)"
17,JX631168,AG 1-IB,AG1,tall fescue,Festuca arundinacea,Poaceae,Poaceae,Non_solanaceae,USA,Herndon,10-Aug-09,2009,North America,North America,"Amaradasa et al., 2013 (DOI: 10.3852/12-368)"
18,JX631164,AG 1-IB,AG1,tall fescue,Festuca arundinacea,Poaceae,Poaceae,Non_solanaceae,USA,Blacksburg,6-Sep-07,2007,North America,North America,"Amaradasa et al., 2013 (DOI: 10.3852/12-368)"
19,JX631162,AG 1-IB,AG1,tall fescue,Festuca arundinacea,Poaceae,Poaceae,Non_solanaceae,USA,Blacksburg,6-Sep-07,2007,North America,North America,"Amaradasa et al., 2013 (DOI: 10.3852/12-368)"
20,KU216129,AG1-IB,AG1,rosemary,Salvia rosmarinus,Lamiaceae,Other,Non_solanaceae,United Kingdom,,2015,2015,Europe,Europe & Central Asia,"Azcona et al., 2017 (DOI:10.5197/j.2044-0588.2017.035.012)"
21,GU596490,AG1-IB,AG1,fan-leaf mountain yam,Dioscorea nipponica,Dioscoreaceae,Other,Non_solanaceae,China,NA,NA,2006,Asia,East Asia & Pacific,"Bai et al., 2010 (DOI: 10.1094/PDIS-94-7-0915C)"
22,GU596491,AG1-IB,AG1,fan-leaf mountain yam,Dioscorea nipponica,Dioscoreaceae,Other,Non_solanaceae,China,NA,NA,2006,Asia,East Asia & Pacific,"Bai et al., 2010 (DOI: 10.1094/PDIS-94-7-0915C)"
23,GU585667,AG1-IB,AG1,fan-leaf mountain yam,Dioscorea nipponica,Dioscoreaceae,Other,Non_solanaceae,China,NA,NA,2006,Asia,East Asia & Pacific,"Bai et al., 2010 (DOI: 10.1094/PDIS-94-7-0915C)"
