No,tef1_accession,ITS_accession,concatenated_accession,tef_protein_id,isolate,strain,anastomosis_group(AG),host_common,host_scientific,host_group,host_group_summarized,collection_date,year,geographic_location,DOI
1,MK391086,MK336673,MK391086_MK336673,QEH60895,WWC18081510,AG1-IB,AG1,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
2,MK391087,MK336674,MK391087_MK336674,QEH60896,WWC18081514,AG1-IB,AG1,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
3,MK391088,MK336675,MK391088_MK336675,QEH60897,WWC18081527,AG1-IB,AG1,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
4,MK391097,MK336684,MK391097_MK336684,QEH60906,WWC18081528,AG1-IB,AG1,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
5,MK391099,MK336686,MK391099_MK336686,QEH60908,WWC18081618,AG1-IB,AG1,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
6,MK391100,MK336687,MK391100_MK336687,QEH60909,WWC18081619,AG1-IB,AG1,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
7,MK391101,MK336688,MK391101_MK336688,QEH60910,WWC18081513,AG1-IB,AG1,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
8,MK391102,MK336689,MK391102_MK336689,QEH60911,WWC18081515,AG1-IB,AG1,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
9,MK391103,MK336690,MK391103_MK336690,QEH60912,WWC18081653,AG1-IB,AG1,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
10,MK391106,MK336693,MK391106_MK336693,QEH60915,WWC1608082903,AG1-IB,AG1,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
11,MK391125,MK336712,MK391125_MK336712,QEH60934,WWC1608090403,AG1-IB,AG1,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
12,MK391126,MK336713,MK391126_MK336713,QEH60935,WWC1608090404,AG1-IB,AG1,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
13,MK391078,MK336665,MK391078_MK336665,QEH60887,WWC18081509,AG2-1,AG2,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
14,MK391079,MK336666,MK391079_MK336666,QEH60888,WWC18081604,AG2-1,AG2,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
15,MK391082,MK336669,MK391082_MK336669,QEH60891,WWC18081636,AG2-1,AG2,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
16,MK391090,MK336677,MK391090_MK336677,QEH60899,WWC18081641,AG2-1,AG2,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
17,MK391091,MK336678,MK391091_MK336678,QEH60900,WWC18081649,AG2-1,AG2,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
18,MK391092,MK336679,MK391092_MK336679,QEH60901,WWC18081651,AG2-1,AG2,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
19,MK391094,MK336681,MK391094_MK336681,QEH60903,WWC1608082905,AG2-1,AG2,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
20,MK391095,MK336682,MK391095_MK336682,QEH60904,WWC1507261101,AG2-1,AG2,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
21,MK391107,MK336694,MK391107_MK336694,QEH60916,WWC1507261102,AG2-1,AG2,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
22,MK391108,MK336695,MK391108_MK336695,QEH60917,WWC1507261104,AG2-1,AG2,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
23,MK391109,MK336696,MK391109_MK336696,QEH60918,WWC18081506,AG2-1,AG2,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
24,MK391110,MK336697,MK391110_MK336697,QEH60919,WWC1507261105,AG2-1,AG2,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
25,MK391111,MK336698,MK391111_MK336698,QEH60920,WWC1608082904,AG2-1,AG2,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,2015-2018,2018,China,Wang et al. 2019: doi: 10.3864/j.issn.0578-1752.2019.16.005
