No,accessions,strain,strain_summarized,anastomosis_group.AG.,host,host_common,host_scientific,host_families,host_group_summarized,country,state_province,collection_date,year,continent,region,Latitude,Longitude,manuscript
1446,MK852209,RHIZ-81A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1471,MK852234,RHIZ-49A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1473,MK852236,RHIZ-5-A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1474,MK852237,RHIZ-51A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1475,MK852238,RHIZ-2A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1476,MK852239,RHIZ-53A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1477,MK852240,RHIZ-54A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1478,MK852241,RHIZ-55A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1479,MK852242,RHIZ-56A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1480,MK852243,RHIZ-58A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1481,MK852244,RHIZ-59A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1483,MK852246,RHIZ-6-A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1484,MK852247,RHIZ-61A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1485,MK852248,RHIZ-62A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1486,MK852249,RHIZ-63A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1487,MK852250,RHIZ-64A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1488,MK852251,RHIZ-66A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1489,MK852252,RHIZ-68A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1490,MK852253,RHIZ-69A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1491,MK852255,RHIZ-7-A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
