No,accessions,anastomosis_group,host_common,host_scientific,host_groups,country,year,Comment
1,FELCC319,AG3,Potato,Solanum tuberosum,Solanaceae,USA,2023,Khoo et al. (Manuscript in preparation)
2,FELCC337,AG3,Potato,Solanum tuberosum,Solanaceae,USA,2023,Khoo et al. (Manuscript in preparation)
3,FELCC374,AG3,Potato,Solanum tuberosum,Fabaceae,USA,2023,Khoo et al. (Manuscript in preparation)
4,FELCC375,AG3,Potato,Solanum tuberosum,Fabaceae,USA,2023,Khoo et al. (Manuscript in preparation)
5,DQ913011,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
6,DQ913012,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
7,DQ913013,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
8,DQ913014,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
9,DQ913015,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
10,DQ913016,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
11,DQ913017,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
12,DQ913018,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
13,DQ913019,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
14,DQ913020,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
15,DQ913021,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
16,DQ913022,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
17,DQ913023,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
18,DQ913024,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
19,DQ913025,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
20,DQ913026,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
21,DQ913027,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
22,DQ913028,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
23,DQ913029,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
24,DQ913030,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
25,DQ913031,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
26,DQ913032,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
27,DQ913033,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
28,DQ913038,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
29,DQ913039,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
30,DQ913040,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
31,DQ913041,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
32,DQ913042,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
33,DQ913043,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
34,DQ913044,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
35,DQ913045,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
36,DQ913046,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
37,DQ913047,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
38,DQ913048,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
39,DQ913049,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
40,DQ913050,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
41,DQ913051,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
42,DQ913052,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
43,DQ913053,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
44,DQ913054,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
45,DQ913055,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
46,DQ913056,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
47,DQ913057,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
48,DQ913058,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
49,DQ913059,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
50,DQ913060,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
51,DQ913061,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
52,DQ913062,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
53,DQ913063,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
54,DQ913064,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
55,DQ913065,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
56,DQ913066,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
57,DQ913067,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
58,DQ913068,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
59,DQ913069,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
60,DQ913070,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
61,DQ913071,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
62,DQ913072,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
63,DQ913073,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
64,DQ913074,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
65,DQ913075,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
66,DQ913076,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
67,EF017212,AG3,Potato,Solanum tuberosum,Solanaceae,Italy,2005,Manici L.M. and CaputoF. 2009 (https://doi.org/10.1111/j.1744-7348.2009.00335.x)
68,EF026574,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
69,EF026575,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
70,EF026576,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
71,EF026577,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
72,EF026578,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
73,EF532825,AG3,Potato,Solanum tuberosum,Solanaceae,Finland,2005,Lehtonen et al. 2007 (https://doi.org/10.1111/j.1365-3059.2007.01694.x)
74,HQ241274,AG3,Tobacco,Nicotiana tabacum,Solanaceae,USA,2010,LaMondia et al. 2011 (DOI: 10.1094/PDIS-10-10-0751)
75,HQ444263,AG3,Potato,Solanum tuberosum,Solanaceae,Israel,2009,Buskila et al. 2011 (DOI: 10.1094/PHYTO-09-10-0251)
76,HQ898680,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
77,HQ898681,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
78,HQ898682,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
79,HQ898683,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
80,HQ898684,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
81,HQ898685,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
82,HQ898686,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
83,HQ898687,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
84,HQ898688,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
85,HQ898689,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
86,HQ898690,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
87,HQ898691,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
88,HQ898692,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
89,HQ898693,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
90,HQ898694,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
91,HQ898696,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
92,HQ898697,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
93,HQ898698,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
94,HQ898699,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
95,HQ898700,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
96,HQ898701,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
97,HQ898702,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
98,HQ898703,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
99,HQ898705,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
100,HQ898706,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
101,HQ898707,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
102,HQ898708,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
103,HQ898709,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
104,HQ898710,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
105,HQ898711,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
106,HQ898712,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
107,HQ898713,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
108,HQ898714,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
109,HQ898715,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
110,HQ898716,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
111,HQ898717,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
112,HQ898718,AG3,Potato,Solanum tuberosum,Solanaceae,France,2007,Fiers et al. 2011 (DOI: 10.3852/10-231)
